"country","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews"
"Isle of Man","70000","5000","10000","5000","5000","5000","5000","5000"
"Israel","150000","1380000","230000","5000","20000","20000","5000","5610000"
"Italy","50440000","2220000","7500000","90000","110000","80000","60000","50000"
"Ivory Coast","8710000","7390000","1570000","5000","5000","2020000","30000","5000"
"Jamaica","2120000","5000","470000","5000","5000","120000","30000","5000"
"Japan","2030000","200000","72120000","30000","45820000","450000","5890000","5000"
"Jordan","130000","6010000","5000","5000","20000","5000","5000","5000"
"Kazakhstan","3970000","11290000","670000","5000","40000","50000","20000","5000"
"Kenya","34340000","3920000","1000000","60000","5000","690000","500000","5000"
"Kiribati","90000","5000","5000","5000","5000","5000","5000","5000"
"Kuwait","390000","2030000","5000","230000","80000","5000","5000","5000"
"Kyrgyzstan","610000","4690000","20000","5000","5000","5000","5000","5000"
"Laos","90000","5000","50000","5000","4100000","1910000","50000","5000"
"Latvia","1260000","5000","990000","5000","5000","5000","5000","5000"
"Lebanon","1620000","2590000","10000","5000","5000","5000","5000","5000"
"Lesotho","2100000","5000","70000","5000","5000","5000","5000","5000"
"Liberia","3430000","480000","60000","5000","5000","20000","5000","5000"
"Libya","170000","6140000","10000","5000","20000","5000","5000","5000"
"Liechtenstein","30000","5000","5000","5000","5000","5000","5000","5000"
"Lithuania","2980000","5000","330000","5000","5000","5000","5000","5000"
"Luxembourg","360000","10000","140000","5000","5000","5000","5000","5000"
"Macau","40000","5000","80000","5000","90000","320000","5000","5000"
"Madagascar","17680000","620000","1440000","10000","5000","940000","20000","5000"
"Malawi","12320000","1930000","370000","5000","5000","260000","5000","5000"
"Malaysia","2670000","18100000","190000","1720000","5010000","650000","60000","5000"
"Maldives","5000","310000","5000","5000","5000","5000","5000","5000"
"Mali","370000","14510000","70000","5000","5000","410000","5000","5000"
"Malta","400000","5000","10000","5000","5000","5000","5000","5000"
"Marshall Islands","50000","5000","5000","5000","5000","5000","5000","5000"
"Martinique","390000","5000","5000","5000","5000","5000","5000","5000"
"Mauritania","5000","3430000","5000","5000","5000","20000","5000","5000"
"Mauritius","420000","220000","5000","630000","5000","5000","5000","5000"
"Mayotte","5000","200000","5000","5000","5000","5000","5000","5000"
"Mexico","107910000","5000","5330000","5000","5000","70000","20000","70000"
"Micronesia","110000","5000","5000","5000","5000","5000","5000","5000"
"Moldova","3480000","20000","50000","5000","5000","5000","5000","20000"
"Monaco","30000","5000","5000","5000","5000","5000","5000","5000"
"Mongolia","60000","90000","990000","5000","1520000","100000","5000","5000"
"Montenegro","490000","120000","20000","5000","5000","5000","5000","5000"
"Montserrat","5000","5000","5000","5000","5000","5000","5000","5000"
"Morocco","20000","31930000","5000","5000","5000","5000","5000","5000"
"Mozambique","13260000","4200000","4200000","5000","5000","1720000","5000","5000"
"Myanmar","3750000","1900000","240000","820000","38410000","2760000","80000","5000"
"Namibia","2230000","5000","40000","5000","5000","5000","5000","5000"
"Nauru","5000","5000","5000","5000","5000","5000","5000","5000"
"Nepal","140000","1370000","80000","24170000","3080000","1100000","20000","5000"
"Netherlands","8410000","1000000","6990000","80000","40000","30000","30000","30000"
"New Caledonia","210000","5000","30000","5000","5000","5000","5000","5000"
"New Zealand","2490000","50000","1600000","90000","70000","20000","30000","5000"
"Nicaragua","4970000","5000","730000","5000","5000","80000","5000","5000"
"Niger","120000","15270000","110000","5000","5000","5000","5000","5000"
"Nigeria","78050000","77300000","680000","5000","10000","2290000","90000","5000"
"Niue","5000","5000","5000","5000","5000","5000","5000","5000"
"North Korea","480000","5000","17350000","5000","370000","3000000","3140000","5000"
"Northern Mariana Islands","40000","5000","5000","5000","5000","5000","5000","5000"
"Norway","4140000","180000","490000","20000","30000","5000","10000","5000"
"Oman","180000","2390000","5000","150000","20000","5000","30000","5000"
"Pakistan","2750000","167410000","20000","3330000","20000","30000","20000","5000"
"Palau","20000","5000","5000","5000","5000","5000","5000","5000"
"Palestine","100000","3940000","5000","5000","5000","5000","5000","5000"
"Panama","3270000","30000","170000","5000","5000","20000","20000","10000"
"Papua New Guinea","6800000","5000","5000","5000","5000","30000","20000","5000"
"Paraguay","6250000","5000","70000","5000","5000","110000","10000","5000"
"Peru","27780000","5000","860000","5000","50000","290000","90000","5000"
"Philippines","86370000","5150000","90000","5000","80000","1430000","130000","5000"
"Poland","36100000","5000","2150000","5000","5000","5000","5000","10000"
"Portugal","9810000","30000","800000","5000","20000","10000","5000","5000"
"Puerto Rico","3630000","5000","70000","5000","10000","30000","5000","5000"
"Qatar","240000","1190000","20000","240000","50000","5000","10000","5000"
"Republic of the Congo","3470000","50000","360000","5000","5000","110000","40000","5000"
"Reunion","740000","40000","20000","40000","5000","5000","5000","5000"
"Romania","21380000","70000","20000","5000","5000","5000","5000","5000"
"Russia","104750000","14290000","23180000","30000","170000","310000","5000","230000"
"Rwanda","9920000","190000","380000","5000","5000","100000","20000","5000"
